iter	Passed	Remaining
224	8363	28807
225	8411	28808
226	8457	28800
227	8505	28800
228	8542	28761
229	8603	28801
230	8645	28779
231	8682	28740
232	8719	28701
233	8760	28678
234	8799	28646
235	8835	28604
236	8868	28552
237	8905	28511
238	8958	28523
239	9011	28535
240	9070	28566
241	9120	28568
242	9170	28567
243	9207	28528
244	9240	28474
245	9272	28419
246	9305	28368
247	9345	28338
248	9382	28297
249	9428	28284
250	9481	28292
251	9517	28249
252	9554	28210
253	9604	28209
254	9652	28199
255	9692	28168
256	9735	28145
257	9780	28128
258	9832	28131
259	9878	28117
260	9917	28080
261	9949	28026
262	9986	27984
263	10017	27927
264	10059	27900
265	10106	27887
266	10152	27871
267	10204	27871
268	10258	27878
269	10296	27837
270	10343	27824
271	10402	27841
272	10454	27840
273	10510	27848
274	10561	27844
275	10603	27814
276	10645	27786
277	10702	27795
278	10761	27808
279	10811	27802
280	10860	27789
281	10898	27748
282	10948	27739
283	10995	27720
284	11040	27698
285	11077	27654
286	11108	27598
287	11149	27563
288	11182	27511
289	11219	27467
290	11265	27448
291	11315	27437
292	11367	27428
293	11413	27407
294	11457	27382
295	11496	27343
296	11530	27291
297	11570	27257
298	11607	27212
299	11646	27175
300	11679	27123
301	11711	27067
302	11741	27009
303	11774	26956
304	11806	26904
305	11840	26854
306	11874	26803
307	11907	26753
308	11956	26738
309	12006	26724
310	12058	26714
311	12115	26717
312	12154	26677
313	12204	26663
314	12247	26634
315	12293	26609
316	12346	26602
317	12382	26555
318	12420	26516
319	12458	26474
320	12502	26445
321	12539	26402
322	12581	26369
323	12628	26348
324	12675	26326
325	12730	26319
326	12785	26312
327	12825	26277
328	12856	26221
329	12887	26166
330	12934	26141
331	12984	26125
332	13044	26128
333	13079	26081
334	13118	26041
335	13153	25993
336	13186	25942
337	13230	25913
338	13283	25900
339	13341	25897
340	13397	25891
341	13451	25880
342	13509	25877
343	13556	25851
344	13595	25811
345	13627	25758
346	13660	25707
347	13696	25661
348	13750	25648
349	13798	25625
350	13841	25592
351	13873	25539
352	13909	25494
353	13953	25462
354	14011	25457
355	14048	25413
356	14084	25367
357	14122	25326
358	14173	25306
359	14225	25289
360	14279	25275
361	14326	25248
362	14375	25225
363	14431	25215
364	14491	25212
365	14551	25206
366	14588	25161
367	14630	25126
368	14687	25116
369	14742	25102
370	14777	25053
371	14845	25062
372	14911	25065
373	14955	25031
374	14993	24988
375	15035	24951
376	15069	24901
377	15108	24860
378	15142	24811
379	15179	24767
380	15215	24720
381	15268	24702
382	15323	24685
383	15382	24675
384	15434	24655
385	15487	24634
386	15534	24606
387	15579	24574
388	15616	24529
389	15663	24499
390	15704	24460
391	15749	24427
392	15787	24384
393	15826	24341
394	15861	24294
395	15891	24238
396	15924	24187
397	15960	24141
398	16000	24101
399	16031	24047
400	16066	23999
401	16112	23967
402	16157	23935
403	16201	23901
404	16240	23858
405	16290	23833
406	16331	23795
407	16374	23758
408	16426	23736
409	16477	23711
410	16516	23670
411	16565	23642
412	16603	23599
413	16636	23548
414	16668	23496
415	16702	23447
416	16752	23420
417	16802	23395
418	16858	23376
419	16892	23327
420	16931	23286
421	16981	23258
422	17024	23222
423	17063	23180
424	17108	23146
425	17154	23113
426	17207	23090
427	17248	23051
428	17290	23013
429	17331	22974
430	17364	22923
431	17403	22882
432	17459	22862
433	17509	22835
434	17559	22806
435	17597	22763
436	17627	22709
437	17660	22659
438	17691	22608
439	17724	22557
440	17755	22506
441	17800	22472
442	17851	22444
443	17893	22406
444	17945	22381
445	17998	22356
446	18047	22326
447	18093	22294
448	18142	22263
449	18175	22214
450	18206	22162
451	18247	22122
452	18291	22086
453	18324	22037
454	18357	21988
455	18391	21941
456	18437	21906
457	18486	21876
458	18530	21841
459	18582	21814
460	18638	21792
461	18692	21767
462	18729	21723
463	18766	21678
464	18812	21644
465	18868	21622
466	18930	21605
467	18986	21582
468	19027	21542
469	19059	21492
470	19092	21443
471	19127	21397
472	19164	21352
473	19195	21301
474	19228	21252
475	19259	21201
476	19295	21156
477	19328	21107
478	19360	21057
479	19394	21010
480	19428	20963
481	19466	20920
482	19499	20872
483	19530	20822
484	19571	20782
485	19611	20740
486	19652	20702
487	19690	20659
488	19729	20617
489	19766	20573
490	19804	20530
491	19844	20489
492	19881	20445
493	19912	20396
494	19950	20353
495	19980	20302
496	20023	20265
497	20071	20232
498	20116	20197
499	20165	20165
500	20211	20130
501	20263	20101
502	20317	20075
503	20378	20055
504	20434	20029
505	20489	20004
506	20549	19982
507	20594	19945
508	20634	19905
509	20675	19864
510	20715	19823
511	20753	19781
512	20791	19737
513	20830	19695
514	20869	19653
515	20907	19611
516	20948	19570
517	20987	19528
518	21024	19485
519	21061	19440
520	21115	19412
521	21161	19377
522	21198	19333
523	21235	19290
524	21270	19244
525	21312	19205
526	21367	19177
527	21414	19143
528	21453	19101
529	21492	19058
530	21535	19021
531	21579	18983
532	21619	18942
533	21662	18903
534	21701	18862
535	21740	18820
536	21777	18776
537	21821	18738
538	21867	18702
539	21906	18660
540	21945	18619
541	21985	18577
542	22024	18536
543	22063	18494
544	22107	18456
545	22146	18414
546	22198	18383
547	22239	18343
548	22284	18306
549	22333	18272
550	22374	18232
551	22413	18190
552	22449	18146
553	22486	18102
554	22523	18059
555	22562	18017
556	22601	17975
557	22636	17930
558	22669	17883
559	22699	17835
560	22745	17798
561	22786	17758
562	22833	17723
563	22872	17681
564	22904	17634
565	22935	17586
566	22968	17540
567	23016	17505
568	23057	17465
569	23105	17430
570	23149	17392
571	23183	17347
572	23216	17301
573	23252	17256
574	23306	17226
575	23345	17184
576	23387	17145
577	23425	17102
578	23456	17055
579	23492	17011
580	23530	16969
581	23564	16924
582	23603	16882
583	23638	16838
584	23671	16792
585	23703	16745
586	23737	16701
587	23771	16656
588	23820	16622
589	23874	16591
590	23939	16567
591	23975	16523
592	24011	16480
593	24046	16436
594	24080	16390
595	24112	16344
596	24150	16302
597	24196	16265
598	24232	16222
599	24271	16180
600	24306	16137
601	24348	16097
602	24401	16065
603	24458	16035
604	24502	15997
605	24540	15955
606	24580	15914
607	24616	15870
608	24654	15829
609	24689	15784
610	24722	15739
611	24755	15694
612	24789	15650
613	24821	15604
614	24880	15575
615	24968	15564
616	25029	15536
617	25085	15506
618	25123	15463
619	25154	15417
620	25184	15370
621	25214	15323
622	25244	15276
623	25274	15229
624	25306	15183
625	25336	15137
626	25373	15094
627	25424	15060
628	25479	15028
629	25510	14982
630	25552	14943
631	25605	14909
632	25643	14867
633	25679	14824
634	25734	14792
635	25777	14753
636	25821	14714
637	25866	14676
638	25912	14639
639	25953	14599
640	25992	14557
641	26024	14512
642	26057	14467
643	26087	14420
644	26119	14376
645	26156	14333
646	26195	14292
647	26229	14248
648	26264	14204
649	26318	14171
650	26430	14169
651	26539	14165
652	26595	14132
653	26639	14093
654	26672	14048
655	26701	14001
656	26729	13954
657	26758	13907
658	26786	13860
659	26818	13815
660	26852	13771
661	26883	13726
662	26915	13680
663	26948	13636
664	26999	13601
665	27037	13559
666	27095	13527
667	27140	13488
668	27170	13443
669	27216	13405
670	27258	13365
671	27290	13320
672	27322	13275
673	27353	13230
674	27384	13185
675	27417	13141
676	27450	13096
677	27484	13053
678	27516	13008
679	27552	12965
680	27586	12922
681	27622	12879
682	27662	12838
683	27705	12799
684	27757	12764
685	27795	12722
686	27835	12681
687	27872	12639
688	27913	12599
689	27965	12564
690	28007	12524
691	28046	12483
692	28084	12441
693	28122	12400
694	28164	12360
695	28202	12318
696	28241	12277
697	28275	12233
698	28308	12190
699	28345	12147
700	28382	12106
701	28423	12065
702	28460	12023
703	28500	11983
704	28538	11941
705	28577	11900
706	28616	11859
707	28653	11817
708	28697	11778
709	28749	11742
710	28801	11706
711	28833	11663
712	28871	11621
713	28927	11587
714	28962	11544
715	29001	11503
716	29049	11465
717	29094	11427
718	29127	11383
719	29162	11341
720	29200	11299
721	29237	11257
722	29269	11214
723	29324	11178
724	29383	11145
725	29440	11111
726	29484	11071
727	29524	11030
728	29572	10993
729	29611	10952
730	29655	10913
731	29718	10880
732	29781	10848
733	29841	10814
734	29901	10780
735	29942	10740
736	29980	10698
737	30020	10657
738	30061	10617
739	30114	10580
740	30158	10541
741	30195	10499
742	30254	10464
743	30309	10429
744	30353	10389
745	30389	10347
746	30421	10303
747	30454	10259
748	30501	10221
749	30560	10186
750	30617	10151
751	30670	10114
752	30715	10075
753	30759	10035
754	30793	9992
755	30837	9952
756	30877	9911
757	30910	9868
758	30947	9826
759	30994	9787
760	31027	9744
761	31066	9703
762	31101	9660
763	31137	9618
764	31175	9576
765	31221	9537
766	31254	9494
767	31285	9450
768	31325	9409
769	31363	9368
770	31398	9326
771	31438	9284
772	31472	9242
773	31507	9199
774	31538	9156
775	31575	9114
776	31619	9074
777	31658	9033
778	31711	8996
779	31753	8956
780	31791	8914
781	31826	8872
782	31860	8829
783	31896	8787
784	31935	8746
785	31967	8703
786	32002	8661
787	32050	8622
788	32093	8582
789	32131	8541
790	32170	8500
791	32220	8462
792	32258	8420
793	32303	8380
794	32347	8341
795	32403	8304
796	32447	8264
797	32477	8221
798	32509	8178
799	32541	8135
800	32589	8096
801	32634	8056
802	32671	8015
803	32709	7974
804	32749	7933
805	32783	7890
806	32815	7848
807	32850	7806
808	32899	7767
809	32946	7728
810	32977	7685
811	33010	7642
812	33049	7601
813	33083	7559
814	33113	7516
815	33144	7473
816	33176	7431
817	33217	7390
818	33268	7352
819	33306	7311
820	33357	7272
821	33412	7235
822	33457	7195
823	33499	7155
824	33537	7113
825	33586	7075
826	33628	7034
827	33659	6992
828	33698	6951
829	33754	6913
830	33795	6873
831	33831	6831
832	33870	6790
833	33906	6748
834	33960	6710
835	34016	6673
836	34069	6634
837	34116	6595
838	34155	6554
839	34187	6511
840	34225	6470
841	34271	6430
842	34317	6391
843	34374	6353
844	34431	6315
845	34477	6276
846	34529	6237
847	34582	6198
848	34619	6157
849	34650	6114
850	34680	6072
851	34716	6030
852	34762	5990
853	34816	5952
854	34858	5911
855	34906	5872
856	34951	5832
857	34996	5791
858	35039	5751
859	35087	5711
860	35132	5671
861	35172	5630
862	35217	5590
863	35274	5552
864	35314	5511
865	35351	5470
866	35384	5428
867	35414	5385
868	35453	5344
869	35487	5302
870	35533	5262
871	35569	5221
872	35608	5180
873	35643	5138
874	35678	5096
875	35722	5056
876	35759	5015
877	35792	4973
878	35828	4932
879	35865	4890
880	35896	4848
881	35931	4807
882	35971	4766
883	36014	4725
884	36045	4683
885	36090	4643
886	36141	4604
887	36182	4563
888	36214	4521
889	36248	4480
890	36280	4438
891	36314	4396
892	36348	4355
893	36380	4313
894	36411	4271
895	36444	4230
896	36490	4190
897	36526	4148
898	36556	4106
899	36585	4065
900	36618	4023
901	36664	3983
902	36714	3943
903	36762	3903
904	36797	3862
905	36845	3822
906	36884	3781
907	36917	3740
908	36953	3699
909	36986	3657
910	37019	3616
911	37055	3575
912	37096	3534
913	37133	3493
914	37174	3453
915	37236	3414
916	37289	3375
917	37388	3339
918	37493	3304
919	37526	3263
920	37556	3221
921	37587	3179
922	37618	3138
923	37649	3096
924	37681	3055
925	37711	3013
926	37741	2972
927	37774	2930
928	37807	2889
929	37835	2847
930	37865	2806
931	37900	2765
932	37992	2728
933	38041	2688
934	38078	2647
935	38110	2605
936	38140	2564
937	38172	2523
938	38204	2481
939	38235	2440
940	38264	2399
941	38293	2357
942	38321	2316
943	38352	2275
944	38386	2234
945	38420	2193
946	38467	2152
947	38508	2112
948	38541	2071
949	38578	2030
950	38612	1989
951	38655	1948
952	38690	1908
953	38723	1867
954	38779	1827
955	38810	1786
956	38843	1745
957	38874	1704
958	38905	1663
959	38937	1622
960	38978	1581
961	39021	1541
962	39066	1500
963	39096	1460
964	39125	1419
965	39163	1378
966	39194	1337
967	39227	1296
968	39258	1255
969	39288	1215
970	39323	1174
971	39351	1133
972	39380	1092
973	39419	1052
974	39455	1011
975	39492	971
976	39530	930
977	39568	890
978	39618	849
979	39656	809
980	39696	768
981	39739	728
982	39793	688
983	39842	647
984	39885	607
985	39928	566
986	39961	526
987	39994	485
988	40025	445
989	40056	404
990	40087	364
991	40118	323
992	40152	283
993	40198	242
994	40234	202
995	40271	161
996	40321	121
997	40366	80
998	40426	40
999	40474	0
