iter	RMSE
174	2.699182828
175	2.697389992
176	2.696062727
177	2.694908438
178	2.693421444
179	2.692180085
180	2.691317078
181	2.690079622
182	2.68925313
183	2.687371283
184	2.685234813
185	2.682663394
186	2.681235166
187	2.679225374
188	2.678583052
189	2.676960237
190	2.675469184
191	2.674588343
192	2.67175378
193	2.670158008
194	2.668768209
195	2.667350589
196	2.665903175
197	2.665302148
198	2.664490157
199	2.663843845
200	2.662102563
201	2.659820395
202	2.658662873
203	2.657980049
204	2.656533337
205	2.6552121
206	2.653432658
207	2.651612809
208	2.65022162
209	2.648016913
210	2.646803303
211	2.645478826
212	2.64379744
213	2.64200725
214	2.639807976
215	2.63744127
216	2.635972037
217	2.634120296
218	2.632836579
219	2.630467951
220	2.62874827
221	2.627199764
222	2.625900295
223	2.623655749
224	2.622639764
225	2.620591811
226	2.620132643
227	2.618672547
228	2.617624875
229	2.615232536
230	2.613176899
231	2.610643692
232	2.608665307
233	2.606893223
234	2.605621298
235	2.604715881
236	2.603012812
237	2.600633749
238	2.59808727
239	2.595745392
240	2.594578607
241	2.593200287
242	2.59129803
243	2.58928542
244	2.587692386
245	2.585885869
246	2.583636217
247	2.582084404
248	2.58038886
249	2.578393585
250	2.577200078
251	2.575377668
252	2.57398993
253	2.572891186
254	2.571206077
255	2.569850738
256	2.569177469
257	2.569014783
258	2.568314502
259	2.567136871
260	2.566076369
261	2.564490239
262	2.562692499
263	2.562140437
264	2.560384341
265	2.558901227
266	2.557399419
267	2.555851287
268	2.553422793
269	2.551815075
270	2.550147701
271	2.54835252
272	2.547433783
273	2.54568986
274	2.545221664
275	2.544124496
276	2.543938895
277	2.542249984
278	2.540731628
279	2.539350194
280	2.538272
281	2.536533837
282	2.536383933
283	2.534361617
284	2.532852709
285	2.531136263
286	2.529540286
287	2.528842135
288	2.527556452
289	2.52622301
290	2.525090911
291	2.523705155
292	2.522202322
293	2.520675064
294	2.518480379
295	2.517057932
296	2.516171723
297	2.514703948
298	2.512806146
299	2.511025251
300	2.509574158
301	2.509260167
302	2.508388367
303	2.50672739
304	2.504788803
305	2.502770086
306	2.501172116
307	2.500692857
308	2.499364956
309	2.498070906
310	2.497806822
311	2.496591862
312	2.495743896
313	2.494997755
314	2.492739041
315	2.492005726
316	2.490107416
317	2.488651031
318	2.486837546
319	2.484901563
320	2.483038652
321	2.482263311
322	2.481086808
323	2.47956691
324	2.479313326
325	2.478600172
326	2.477491802
327	2.476527201
328	2.475238477
329	2.474003046
330	2.472502312
331	2.470761499
332	2.469505871
333	2.468569123
334	2.467184897
335	2.466228276
336	2.46439101
337	2.463491143
338	2.462728358
339	2.462059544
340	2.460856266
341	2.459659937
342	2.459181623
343	2.456824561
344	2.45505014
345	2.453504574
346	2.451726627
347	2.449557834
348	2.448716106
349	2.447911478
350	2.446637548
351	2.444992882
352	2.443572906
353	2.442203611
354	2.440955591
355	2.439355366
356	2.437956859
357	2.436257457
358	2.43590179
359	2.435013662
360	2.434087453
361	2.432079304
362	2.430770962
363	2.428135905
364	2.427442642
365	2.425952443
366	2.42538914
367	2.424778701
368	2.42415487
369	2.422122323
370	2.421331736
371	2.419894708
372	2.419026053
373	2.418362342
374	2.416945908
375	2.414991604
376	2.413808749
377	2.412743172
378	2.411401956
379	2.4105094
380	2.409004037
381	2.407568405
382	2.406064914
383	2.404192417
384	2.402427664
385	2.401561596
386	2.400998137
387	2.399989498
388	2.398336641
389	2.39795472
390	2.397392148
391	2.395711086
392	2.394807113
393	2.393824094
394	2.392463091
395	2.391265365
396	2.389636448
397	2.389460115
398	2.388167369
399	2.386971196
400	2.386721003
401	2.384217702
402	2.383301409
403	2.382421447
404	2.381411846
405	2.380757627
406	2.379803826
407	2.37849085
408	2.378087826
409	2.376175264
410	2.374423897
411	2.373184303
412	2.371873696
413	2.371193687
414	2.36988613
415	2.368930639
416	2.367254148
417	2.36567872
418	2.363456996
419	2.361897908
420	2.360841653
421	2.360688216
422	2.359294552
423	2.358996773
424	2.358051744
425	2.356794847
426	2.354705019
427	2.352873584
428	2.351531783
429	2.349817012
430	2.348868844
431	2.346711103
432	2.345024744
433	2.343749667
434	2.341892305
435	2.340023791
436	2.339029589
437	2.338849798
438	2.336766568
439	2.335626011
440	2.333986227
441	2.332773787
442	2.33137325
443	2.32983926
444	2.328724536
445	2.328070304
446	2.326986454
447	2.326055373
448	2.324453875
449	2.323667618
450	2.322253245
451	2.32145836
452	2.320030557
453	2.318912425
454	2.318077493
455	2.316205762
456	2.315221577
457	2.313678589
458	2.311961204
459	2.309809972
460	2.308623833
461	2.307767475
462	2.306299888
463	2.306063872
464	2.305595916
465	2.304368153
466	2.303131606
467	2.301050513
468	2.299387032
469	2.298400425
470	2.297111697
471	2.296328394
472	2.295597059
473	2.29526699
474	2.294295603
475	2.293390002
476	2.292834872
477	2.292320593
478	2.291342014
479	2.29018247
480	2.289156353
481	2.288236906
482	2.287690645
483	2.286933139
484	2.285013984
485	2.28425926
486	2.28357335
487	2.282209697
488	2.282088439
489	2.28040904
490	2.279570065
491	2.278394429
492	2.277631191
493	2.277204006
494	2.276467114
495	2.275751454
496	2.274523697
497	2.273678367
498	2.272828471
499	2.271489913
500	2.270341655
501	2.269493633
502	2.268306787
503	2.268284105
504	2.267204399
505	2.266666193
506	2.266040322
507	2.264500861
508	2.263259711
509	2.261515928
510	2.260388668
511	2.259263911
512	2.258185862
513	2.256773503
514	2.25498842
515	2.253934865
516	2.252885405
517	2.252353295
518	2.250855341
519	2.250059605
520	2.249622187
521	2.248734184
522	2.247361392
523	2.245901709
524	2.24456667
525	2.244106571
526	2.244052303
527	2.242488457
528	2.24107989
529	2.240011855
530	2.238635241
531	2.237645119
532	2.237433348
533	2.236532067
534	2.235403049
535	2.234497815
536	2.234214631
537	2.233828388
538	2.233456814
539	2.232819619
540	2.231978208
541	2.231381277
542	2.230865894
543	2.229802934
544	2.22881535
545	2.227520763
546	2.227385806
547	2.225724925
548	2.223986992
549	2.22350491
550	2.222806528
551	2.221603755
552	2.220601213
553	2.218991041
554	2.21810475
555	2.217120475
556	2.216795921
557	2.215531823
558	2.214493464
559	2.213768878
560	2.212436552
561	2.210575503
562	2.209856453
563	2.209229161
564	2.20859781
565	2.208028279
566	2.207221904
567	2.206469956
568	2.205555127
569	2.204946257
570	2.203873678
571	2.202970065
572	2.202799319
573	2.201624916
574	2.200025866
575	2.19957009
576	2.198179265
577	2.197968555
578	2.197399389
579	2.196847563
580	2.1956711
581	2.194254717
582	2.193035713
583	2.191993481
584	2.190266072
585	2.189732854
586	2.188512173
587	2.187622382
588	2.187040126
589	2.186334729
590	2.184872487
591	2.18390626
592	2.182546198
593	2.181671553
594	2.18164867
595	2.180529796
596	2.178710709
597	2.177348381
598	2.176263875
599	2.174948186
600	2.174924231
601	2.173569208
602	2.17234543
603	2.17118109
604	2.170773742
605	2.170107844
606	2.169600272
607	2.168731537
608	2.167490577
609	2.166789968
610	2.165418232
611	2.164115941
612	2.162877503
613	2.162021066
614	2.161188778
615	2.160789601
616	2.160238808
617	2.158896944
618	2.158167685
619	2.157137243
620	2.156318111
621	2.154955041
622	2.15320416
623	2.152757697
624	2.152325404
625	2.151213284
626	2.150280235
627	2.148671845
628	2.147225482
629	2.146526552
630	2.145208706
631	2.143827871
632	2.142869474
633	2.142309514
634	2.14108641
635	2.139742454
636	2.139189684
637	2.13808034
638	2.13741788
639	2.13686086
640	2.135881344
641	2.135277425
642	2.133812717
643	2.132918408
644	2.132014046
645	2.130171167
646	2.129479789
647	2.128929551
648	2.12822978
649	2.126673304
650	2.125483759
651	2.124601186
652	2.123531824
653	2.123204577
654	2.121882471
655	2.120298096
656	2.119134805
657	2.119069131
658	2.117874593
659	2.117467345
660	2.116510221
661	2.115322302
662	2.114428715
663	2.113420647
664	2.112972926
665	2.112816626
666	2.112481944
667	2.110960614
668	2.110640559
669	2.110078214
670	2.108862303
671	2.108261806
672	2.107792773
673	2.106848318
674	2.106347194
675	2.105675722
676	2.10459477
677	2.104355454
678	2.103271799
679	2.102097443
680	2.101196897
681	2.100633656
682	2.100052477
683	2.099429115
684	2.099331639
685	2.098777216
686	2.098429735
687	2.097665573
688	2.096570463
689	2.095613469
690	2.095059679
691	2.094302512
692	2.094024418
693	2.093537977
694	2.092606697
695	2.091898374
696	2.091401046
697	2.090687486
698	2.089930161
699	2.088286847
700	2.087055584
701	2.086265346
702	2.084963063
703	2.084035157
704	2.083160543
705	2.08218846
706	2.081278683
707	2.080408564
708	2.079596992
709	2.079415901
710	2.07811305
711	2.076747682
712	2.076029469
713	2.075044653
714	2.073280887
715	2.072682437
716	2.071616564
717	2.07051371
718	2.070448279
719	2.069455314
720	2.068695708
721	2.067800202
722	2.067223291
723	2.065970079
724	2.065951732
725	2.065156626
726	2.064218674
727	2.063767529
728	2.063506702
729	2.062720455
730	2.062541305
731	2.061235523
732	2.060560562
733	2.059326918
734	2.059111823
735	2.057843844
736	2.056461028
737	2.055708486
738	2.054103049
739	2.053347606
740	2.052739663
741	2.052093772
742	2.051179637
743	2.049997665
744	2.049741041
745	2.048626509
746	2.047464913
747	2.046567636
748	2.045551984
749	2.044423998
750	2.043373695
751	2.041509474
752	2.040609919
753	2.039885229
754	2.038720806
755	2.038206213
756	2.03738916
757	2.036616409
758	2.035838021
759	2.035083025
760	2.034945923
761	2.033694866
762	2.032406964
763	2.031709958
764	2.030538262
765	2.028688999
766	2.028059573
767	2.027585244
768	2.026016224
769	2.024820431
770	2.024428146
771	2.023719097
772	2.022656815
773	2.021918186
774	2.02070858
775	2.019918151
776	2.018950046
777	2.018436632
778	2.01723898
779	2.016499759
780	2.015567064
781	2.014134721
782	2.013197828
783	2.01277465
784	2.011676159
785	2.011191852
786	2.009816274
787	2.009294141
788	2.008283252
789	2.007308752
790	2.006264905
791	2.005081127
792	2.003731022
793	2.002512322
794	2.002146184
795	2.001893163
796	2.001441949
797	2.001246698
798	2.000392491
799	1.999274344
800	1.998532734
801	1.99740863
802	1.996474811
803	1.99544936
804	1.994972411
805	1.993922116
806	1.992965392
807	1.992013565
808	1.991964018
809	1.990976827
810	1.990104232
811	1.98904026
812	1.987586961
813	1.985976842
814	1.985390669
815	1.984817845
816	1.983766567
817	1.983256628
818	1.982379954
819	1.981802587
820	1.980418425
821	1.979692648
822	1.97890841
823	1.978195709
824	1.977734687
825	1.976686684
826	1.975888557
827	1.974707162
828	1.973430887
829	1.972650566
830	1.971834892
831	1.971048848
832	1.969965689
833	1.969487927
834	1.968944872
835	1.968707485
836	1.967603412
837	1.966310905
838	1.965787496
839	1.964544595
840	1.963501422
841	1.962672405
842	1.961977403
843	1.960941066
844	1.959900604
845	1.959399537
846	1.958857883
847	1.957398068
848	1.956180701
849	1.954900338
850	1.954127205
851	1.953139472
852	1.952059326
853	1.950532305
854	1.949536103
855	1.948480623
856	1.947919633
857	1.947106379
858	1.946285372
859	1.945617752
860	1.944532981
861	1.943591959
862	1.94267006
863	1.941152212
864	1.940318388
865	1.939206996
866	1.938831986
867	1.938629038
868	1.938018731
869	1.937321013
870	1.937202507
871	1.936380911
872	1.935435177
873	1.934630199
874	1.934352531
875	1.933732062
876	1.932583457
877	1.931597742
878	1.930656436
879	1.929275236
880	1.928743727
881	1.928050716
882	1.927963069
883	1.926660985
884	1.926400826
885	1.925839599
886	1.925179281
887	1.924219938
888	1.923503728
889	1.922735097
890	1.922144864
891	1.920922565
892	1.919782099
893	1.919115217
894	1.918078393
895	1.917525904
896	1.916747246
897	1.915575168
898	1.914904635
899	1.914299197
900	1.913499111
901	1.913098425
902	1.912525491
903	1.912063007
904	1.911322234
905	1.910147704
906	1.909429688
907	1.908753099
908	1.907893338
909	1.90706399
910	1.906369694
911	1.905787508
912	1.905007784
913	1.904772427
914	1.904279239
915	1.903076298
916	1.902031502
917	1.901721814
918	1.900882174
919	1.900117352
920	1.899135669
921	1.898145533
922	1.897641655
923	1.896110475
924	1.895542104
925	1.894537617
926	1.89344213
927	1.892696382
928	1.891959552
929	1.890966591
930	1.889739649
931	1.888467348
932	1.887759124
933	1.886763493
934	1.886522103
935	1.885831985
936	1.885483203
937	1.884582473
938	1.883763553
939	1.882945973
940	1.88255001
941	1.881690372
942	1.880859162
943	1.880097272
944	1.879723662
945	1.878974085
946	1.878262489
947	1.877113419
948	1.875817805
949	1.874714364
950	1.873773828
951	1.872800334
952	1.871830917
953	1.871394902
954	1.870145226
955	1.869965543
956	1.869073331
957	1.86831051
958	1.867893073
959	1.866107995
960	1.865242733
961	1.864220429
962	1.863322841
963	1.862297493
964	1.861146505
965	1.860080472
966	1.859403633
967	1.858514202
968	1.858084217
969	1.857363135
970	1.856921809
971	1.856382241
972	1.855541916
973	1.855144578
974	1.854304293
975	1.853621331
976	1.853194584
977	1.852556937
978	1.851579726
979	1.851275707
980	1.850592015
981	1.849699276
982	1.84930705
983	1.848913232
984	1.847365292
985	1.846451854
986	1.845481183
987	1.844861534
988	1.843983042
989	1.843112222
990	1.842139546
991	1.841264894
992	1.840485417
993	1.839745405
994	1.839101095
995	1.838658296
996	1.837792575
997	1.836615545
998	1.836029754
999	1.835986233
